Alpes (ALP)
Alsace Franche Comté (AFC)
Aquitaine Nord (AQN)
Auvergne (AUV)
Bourgogne (BRG)
Bretagne (BRE)
Centre (CEN)
Champagne Ardenne (CAR)
Côte d'Azur (CAZ)
Ile de France Ouest (IFO)
Ile France Est (IFE)
Languedoc Roussillon (LRO)
Limousin (LIM)
Lorraine (LOR)
Midi Pyrénées Sud (MPS)
Nord Midi Pyrénées (NMP)
Nord Pas de Calais (NPC)
Normandie (NOR)
Paris (PAR)
Pays de Loire (PDL)
Picardie (PIC)
Poitou Charente (PCH)
Provence Alpes du Sud (PAS)
Pyrénées et Landes (PYL)
Sillon Rhodanien (SIR)
